studentnummer;persoonsgebonden_nummer;selectiejaar;opleiding;instellingscode;geslacht;leeftijd;herkomst;hoogste_vooropleiding;gem_eindcijfer_vo;motivatiescore;cv_score;interview_score;totaalscore;rangorde;selectie_uitkomst
10327;;2021;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;vwo profiel natuur & gezondheid;7.5;4.75;5.95;3.55;4.39;220;niet geselecteerd
10328;10328.0;2021;B Gezondheidswetenschappen;DEMO;man;21;westerse achtergrond;vwo profiel natuur & techniek;7.5;6.8;6.2;6.38;6.47;32;geselecteerd
10329;;2021;B Gezondheidswetenschappen;DEMO;man;21;Suriname/Antillen;vwo profiel natuur & gezondheid;8.7;3.7;3.4;3.08;3.33;310;niet geselecteerd
10330;;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;Nederland;vwo profiel cultuur & maatschappij;6.8;4.15;3.85;5.4;4.72;187;niet geselecteerd
10331;10331.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;Nederland;vwo profiel natuur & gezondheid;6.8;7.4;6.55;8.13;7.6;7;geselecteerd
10332;10332.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;vwo profiel natuur & gezondheid;7.6;5.35;6.35;5.35;5.55;99;reserve
10333;;2021;B Gezondheidswetenschappen;DEMO;man;19;Nederland;vwo profiel natuur & gezondheid;7.3;5.1;5.45;4.22;4.73;185;niet geselecteerd
10334;;2021;B Gezondheidswetenschappen;DEMO;vrouw;17;Nederland;vwo profiel natuur & gezondheid;6.9;2.25;3.55;2.87;2.82;327;niet geselecteerd
10335;;2021;B Gezondheidswetenschappen;DEMO;man;22;Nederland;vwo profiel natuur & gezondheid;7.7;5.25;5.4;5.25;5.28;122;niet geselecteerd
10336;;2021;B Gezondheidswetenschappen;DEMO;man;18;Marokko;vwo profiel cultuur & maatschappij;7.0;3.75;4.0;4.47;4.16;239;niet geselecteerd
10337;;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;Suriname/Antillen;vwo profiel natuur & gezondheid;7.4;5.7;4.35;3.93;4.54;206;niet geselecteerd
10338;;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;Nederland;hbo-propedeuse;7.2;3.1;4.3;3.07;3.32;312;niet geselecteerd
10339;10339.0;2021;B Gezondheidswetenschappen;DEMO;man;19;westerse achtergrond;vwo profiel natuur & techniek;6.6;7.5;5.75;6.48;6.64;26;geselecteerd
10340;;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;westerse achtergrond;vwo profiel economie & maatschappij;7.4;3.4;4.25;2.65;3.2;317;niet geselecteerd
10341;;2021;B Gezondheidswetenschappen;DEMO;man;19;Nederland;vwo profiel economie & maatschappij;6.4;3.95;5.3;4.78;4.64;196;niet geselecteerd
10342;;2021;B Gezondheidswetenschappen;DEMO;man;17;Nederland;vwo profiel natuur & gezondheid;7.5;5.1;4.5;4.33;4.6;202;niet geselecteerd
10343;10343.0;2022;B Gezondheidswetenschappen;DEMO;man;19;Nederland;vwo profiel natuur & gezondheid;7.8;5.45;5.6;6.25;5.88;114;reserve
10344;;2022;B Gezondheidswetenschappen;DEMO;vrouw;21;Nederland;vwo profiel natuur & techniek;6.2;2.95;3.05;4.02;3.5;370;niet geselecteerd
10345;;2022;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;vwo profiel natuur & techniek;7.0;4.75;4.8;5.18;4.97;221;niet geselecteerd
10346;;2022;B Gezondheidswetenschappen;DEMO;vrouw;20;westerse achtergrond;vwo profiel natuur & gezondheid;7.4;3.45;3.3;3.52;3.46;374;niet geselecteerd
10347;10347.0;2022;B Gezondheidswetenschappen;DEMO;man;22;westerse achtergrond;vwo profiel cultuur & maatschappij;6.7;7.1;8.25;6.9;7.23;15;geselecteerd
10348;;2022;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;vwo profiel natuur & gezondheid;6.6;4.15;4.5;4.4;4.35;295;niet geselecteerd
10349;;2022;B Gezondheidswetenschappen;DEMO;man;17;Nederland;vwo profiel natuur & gezondheid;6.8;4.25;3.4;3.08;3.5;371;niet geselecteerd
10350;;2022;B Gezondheidswetenschappen;DEMO;man;19;Nederland;vwo profiel natuur & techniek;6.8;5.5;4.15;5.95;5.46;162;niet geselecteerd
10351;10351.0;2022;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;vwo profiel natuur & techniek;7.0;5.5;7.55;6.5;6.41;63;geselecteerd
10352;;2022;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;vwo profiel cultuur & maatschappij;7.4;4.8;4.85;3.37;4.1;317;niet geselecteerd
10353;;2022;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;vwo profiel cultuur & maatschappij;7.2;3.75;4.95;4.98;4.61;276;niet geselecteerd
10354;;2022;B Gezondheidswetenschappen;DEMO;man;18;Nederland;vwo profiel natuur & gezondheid;7.2;4.65;4.65;4.47;4.56;281;niet geselecteerd
10355;10355.0;2022;B Gezondheidswetenschappen;DEMO;man;19;Nederland;vwo profiel natuur & gezondheid;7.8;7.0;6.1;6.27;6.45;58;geselecteerd
10356;;2022;B Gezondheidswetenschappen;DEMO;vrouw;17;Nederland;vwo profiel cultuur & maatschappij;6.8;4.55;4.75;4.17;4.4;290;niet geselecteerd
10357;10357.0;2022;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;vwo profiel cultuur & maatschappij;7.7;7.85;7.3;8.3;7.97;1;geselecteerd
10358;10358.0;2022;B Gezondheidswetenschappen;DEMO;vrouw;21;westerse achtergrond;vwo profiel cultuur & maatschappij;7.7;6.4;6.1;5.9;6.09;93;geselecteerd
10359;10359.0;2022;B Gezondheidswetenschappen;DEMO;vrouw;18;westerse achtergrond;anders;6.8;6.25;7.35;6.42;6.56;48;geselecteerd
10360;;2022;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;vwo profiel natuur & gezondheid;8.7;3.6;5.25;3.53;3.89;334;niet geselecteerd
10361;;2022;B Gezondheidswetenschappen;DEMO;man;19;westerse achtergrond;vwo profiel natuur & techniek;7.0;4.65;5.3;5.08;5.0;216;niet geselecteerd
10362;;2022;B Gezondheidswetenschappen;DEMO;man;18;Nederland;vwo profiel natuur & gezondheid;6.6;2.55;3.3;3.63;3.24;386;niet geselecteerd
10363;;2022;B Gezondheidswetenschappen;DEMO;man;20;westerse achtergrond;anders;6.9;5.05;3.7;5.32;4.92;226;niet geselecteerd
10364;;2022;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;vwo profiel cultuur & maatschappij;7.5;3.3;4.25;2.95;3.32;382;niet geselecteerd
10365;10365.0;2022;B Gezondheidswetenschappen;DEMO;man;17;westerse achtergrond;vwo profiel natuur & techniek;8.0;6.65;6.35;6.63;6.58;45;geselecteerd
10366;;2022;B Gezondheidswetenschappen;DEMO;vrouw;21;Nederland;vwo profiel natuur & gezondheid;7.0;3.75;4.25;4.15;4.05;324;niet geselecteerd
10367;10367.0;2022;B Gezondheidswetenschappen;DEMO;vrouw;19;Nederland;vwo profiel natuur & gezondheid;7.2;6.75;6.6;6.28;6.48;55;geselecteerd
10368;;2022;B Gezondheidswetenschappen;DEMO;anders;20;Nederland;vwo profiel cultuur & maatschappij;7.5;2.85;5.35;3.43;3.64;355;niet geselecteerd
10369;;2022;B Gezondheidswetenschappen;DEMO;man;22;overig niet-westers;vwo profiel natuur & gezondheid;7.2;5.8;5.35;5.27;5.44;163;niet geselecteerd
10370;10370.0;2022;B Gezondheidswetenschappen;DEMO;vrouw;20;Marokko;vwo profiel cultuur & maatschappij;7.5;6.55;5.2;5.88;5.94;109;geselecteerd
10371;;2022;B Gezondheidswetenschappen;DEMO;anders;19;Turkije;vwo profiel natuur & gezondheid;6.9;5.25;4.45;4.88;4.9;229;niet geselecteerd
10372;;2022;B Gezondheidswetenschappen;DEMO;vrouw;17;Nederland;hbo-propedeuse;5.8;5.6;5.95;5.05;5.4;166;niet geselecteerd
10373;10373.0;2022;B Gezondheidswetenschappen;DEMO;vrouw;18;Suriname/Antillen;hbo-propedeuse;6.1;6.45;5.5;6.68;6.38;65;geselecteerd
10374;;2022;B Gezondheidswetenschappen;DEMO;vrouw;17;Nederland;vwo profiel economie & maatschappij;6.1;5.65;4.5;4.93;5.06;209;niet geselecteerd
10375;10375.0;2022;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;vwo profiel natuur & gezondheid;7.0;5.45;7.3;5.8;6.0;101;geselecteerd
10376;;2022;B Gezondheidswetenschappen;DEMO;vrouw;19;Nederland;vwo profiel natuur & gezondheid;7.4;1.85;3.1;2.73;2.54;410;niet geselecteerd
10377;;2022;B Gezondheidswetenschappen;DEMO;man;19;Turkije;vwo profiel natuur & gezondheid;6.3;5.3;6.0;5.87;5.72;133;niet geselecteerd
10378;10378.0;2022;B Gezondheidswetenschappen;DEMO;vrouw;19;westerse achtergrond;hbo-propedeuse;7.2;6.0;6.7;6.93;6.6;44;geselecteerd
10379;;2022;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;vwo profiel natuur & techniek;6.6;3.8;4.55;4.43;4.26;304;niet geselecteerd
10380;;2022;B Gezondheidswetenschappen;DEMO;vrouw;18;overig niet-westers;vwo profiel natuur & gezondheid;6.5;3.95;3.2;3.15;3.4;375;niet geselecteerd
10381;10381.0;2022;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;vwo profiel natuur & gezondheid;7.0;7.85;6.15;8.3;7.74;3;geselecteerd
10382;;2022;B Gezondheidswetenschappen;DEMO;vrouw;17;Nederland;vwo profiel natuur & gezondheid;7.6;2.95;3.9;3.17;3.25;385;niet geselecteerd
10383;;2022;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;vwo profiel natuur & techniek;7.2;2.5;3.6;2.68;2.81;405;niet geselecteerd
10384;;2022;B Gezondheidswetenschappen;DEMO;man;19;Nederland;vwo profiel natuur & techniek;6.2;5.0;5.6;5.02;5.13;201;niet geselecteerd
10385;;2022;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;vwo profiel natuur & gezondheid;6.9;5.1;4.65;5.42;5.17;198;niet geselecteerd
10386;10386.0;2022;B Gezondheidswetenschappen;DEMO;man;18;Nederland;vwo profiel natuur & gezondheid;8.0;6.5;6.15;6.92;6.64;38;geselecteerd
10387;;2022;B Gezondheidswetenschappen;DEMO;vrouw;20;Suriname/Antillen;vwo profiel natuur & techniek;7.1;4.75;4.95;4.75;4.79;246;niet geselecteerd
10388;;2022;B Gezondheidswetenschappen;DEMO;man;18;Nederland;vwo profiel natuur & gezondheid;8.3;4.5;5.3;5.92;5.37;169;niet geselecteerd
10389;;2022;B Gezondheidswetenschappen;DEMO;man;18;Nederland;vwo profiel natuur & techniek;7.8;6.35;5.05;5.15;5.49;156;niet geselecteerd
10390;10390.0;2022;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;vwo profiel natuur & techniek;7.4;6.45;5.5;5.83;5.95;107;geselecteerd
10391;10391.0;2022;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;vwo profiel natuur & techniek;7.7;6.05;6.65;5.53;5.91;111;reserve
10392;;2022;B Gezondheidswetenschappen;DEMO;man;19;Nederland;vwo profiel cultuur & maatschappij;7.2;5.25;5.5;5.23;5.29;185;niet geselecteerd
10393;;2022;B Gezondheidswetenschappen;DEMO;man;18;Nederland;vwo profiel natuur & gezondheid;7.3;5.95;5.1;5.23;5.42;164;niet geselecteerd
10394;;2022;B Gezondheidswetenschappen;DEMO;man;18;westerse achtergrond;vwo profiel natuur & gezondheid;6.8;5.05;5.4;5.77;5.48;158;niet geselecteerd
10395;;2022;B Gezondheidswetenschappen;DEMO;vrouw;19;Nederland;vwo profiel natuur & techniek;6.9;3.95;4.45;4.17;4.16;313;niet geselecteerd
10396;;2022;B Gezondheidswetenschappen;DEMO;vrouw;19;Suriname/Antillen;vwo profiel natuur & techniek;7.4;5.35;5.85;4.8;5.18;195;niet geselecteerd
10397;10397.0;2022;B Gezondheidswetenschappen;DEMO;vrouw;21;Nederland;hbo-propedeuse;5.3;7.1;6.3;6.87;6.82;29;geselecteerd
10398;;2022;B Gezondheidswetenschappen;DEMO;vrouw;18;Suriname/Antillen;vwo profiel natuur & techniek;7.0;3.8;3.55;3.32;3.51;368;niet geselecteerd
10399;;2022;B Gezondheidswetenschappen;DEMO;man;17;Nederland;vwo profiel natuur & gezondheid;7.1;3.05;4.2;3.28;3.39;376;niet geselecteerd
10400;;2022;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;vwo profiel natuur & gezondheid;7.3;5.45;5.25;5.35;5.36;172;niet geselecteerd
10401;;2022;B Gezondheidswetenschappen;DEMO;vrouw;21;Nederland;vwo profiel economie & maatschappij;6.8;5.15;3.85;4.67;4.65;268;niet geselecteerd
10402;10402.0;2022;B Gezondheidswetenschappen;DEMO;vrouw;19;Nederland;anders;6.9;5.8;5.45;6.73;6.2;81;geselecteerd
10403;;2022;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;vwo profiel natuur & gezondheid;7.6;4.7;5.65;4.37;4.72;253;niet geselecteerd
10404;;2022;B Gezondheidswetenschappen;DEMO;vrouw;19;Turkije;vwo profiel cultuur & maatschappij;6.9;5.5;3.85;4.83;4.83;239;niet geselecteerd
10405;;2022;B Gezondheidswetenschappen;DEMO;vrouw;19;Nederland;vwo profiel natuur & gezondheid;7.1;4.15;3.8;3.18;3.6;360;niet geselecteerd
10406;;2022;B Gezondheidswetenschappen;DEMO;man;21;Nederland;anders;7.0;2.5;3.15;2.7;2.73;406;niet geselecteerd
10407;;2022;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;vwo profiel cultuur & maatschappij;7.2;3.85;4.3;3.53;3.78;344;niet geselecteerd
10408;;2022;B Gezondheidswetenschappen;DEMO;vrouw;19;Nederland;vwo profiel cultuur & maatschappij;6.9;5.05;5.3;5.47;5.31;181;niet geselecteerd
10409;10409.0;2022;B Gezondheidswetenschappen;DEMO;vrouw;18;Marokko;vwo profiel natuur & techniek;6.9;6.7;6.1;7.45;6.95;24;geselecteerd
10410;10410.0;2022;B Gezondheidswetenschappen;DEMO;man;19;Nederland;vwo profiel natuur & gezondheid;7.1;5.8;6.6;7.05;6.58;46;geselecteerd
10411;;2022;B Gezondheidswetenschappen;DEMO;vrouw;20;westerse achtergrond;hbo-propedeuse;6.5;4.2;3.0;3.6;3.66;353;niet geselecteerd
10412;;2022;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;vwo profiel cultuur & maatschappij;6.7;5.05;5.2;4.23;4.67;264;niet geselecteerd
10413;;2022;B Gezondheidswetenschappen;DEMO;man;18;Nederland;vwo profiel natuur & gezondheid;6.8;5.1;5.35;5.18;5.19;193;niet geselecteerd
10414;;2022;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;vwo profiel natuur & gezondheid;7.1;4.5;5.15;4.9;4.83;240;niet geselecteerd
10415;10415.0;2022;B Gezondheidswetenschappen;DEMO;vrouw;19;westerse achtergrond;vwo profiel cultuur & maatschappij;7.3;5.8;4.9;6.08;5.76;129;reserve
10416;;2022;B Gezondheidswetenschappen;DEMO;vrouw;17;Nederland;vwo profiel natuur & gezondheid;6.3;5.2;4.85;5.6;5.33;177;niet geselecteerd
10417;;2022;B Gezondheidswetenschappen;DEMO;vrouw;19;Marokko;anders;7.1;5.55;3.6;4.93;4.85;237;niet geselecteerd
10418;10418.0;2022;B Gezondheidswetenschappen;DEMO;vrouw;20;Turkije;hbo-propedeuse;6.0;7.1;6.1;6.52;6.61;41;geselecteerd
10419;;2022;B Gezondheidswetenschappen;DEMO;man;17;Suriname/Antillen;vwo profiel cultuur & maatschappij;6.2;3.2;4.15;4.0;3.79;343;niet geselecteerd
10420;;2022;B Gezondheidswetenschappen;DEMO;vrouw;21;Nederland;vwo profiel cultuur & maatschappij;6.7;5.2;3.4;5.25;4.86;232;niet geselecteerd
10421;;2022;B Gezondheidswetenschappen;DEMO;man;19;Nederland;vwo profiel economie & maatschappij;6.7;2.0;2.8;2.38;2.35;413;niet geselecteerd
10422;10422.0;2022;B Gezondheidswetenschappen;DEMO;vrouw;22;Nederland;vwo profiel natuur & gezondheid;7.2;6.25;5.4;5.9;5.9;113;reserve
10423;;2022;B Gezondheidswetenschappen;DEMO;vrouw;22;Nederland;vwo profiel natuur & gezondheid;6.4;2.95;2.15;1.98;2.31;415;niet geselecteerd
10424;;2022;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;vwo profiel natuur & gezondheid;6.4;3.95;5.95;6.03;5.39;168;niet geselecteerd
10425;;2022;B Gezondheidswetenschappen;DEMO;vrouw;19;overig niet-westers;vwo profiel natuur & gezondheid;8.2;2.75;3.0;2.58;2.72;407;niet geselecteerd
10426;10426.0;2022;B Gezondheidswetenschappen;DEMO;vrouw;21;Nederland;vwo profiel cultuur & maatschappij;6.5;6.15;5.1;6.52;6.12;92;geselecteerd
10427;;2022;B Gezondheidswetenschappen;DEMO;man;18;westerse achtergrond;vwo profiel natuur & techniek;6.5;4.75;4.7;4.8;4.77;247;niet geselecteerd
10428;;2022;B Gezondheidswetenschappen;DEMO;man;19;Nederland;vwo profiel natuur & techniek;6.8;4.25;3.75;3.75;3.9;333;niet geselecteerd
10429;;2022;B Gezondheidswetenschappen;DEMO;vrouw;20;westerse achtergrond;vwo profiel natuur & gezondheid;7.2;5.5;6.0;5.52;5.61;142;niet geselecteerd
10430;;2022;B Gezondheidswetenschappen;DEMO;vrouw;17;Nederland;vwo profiel natuur & techniek;8.0;3.5;4.1;4.18;3.96;329;niet geselecteerd
10431;;2022;B Gezondheidswetenschappen;DEMO;vrouw;19;westerse achtergrond;vwo profiel natuur & gezondheid;6.4;3.1;3.0;1.72;2.39;412;niet geselecteerd
10432;;2022;B Gezondheidswetenschappen;DEMO;vrouw;19;Nederland;vwo profiel natuur & gezondheid;7.1;4.85;5.3;5.17;5.1;205;niet geselecteerd
10433;10433.0;2022;B Gezondheidswetenschappen;DEMO;man;20;Nederland;vwo profiel natuur & techniek;5.5;6.75;6.45;6.4;6.52;52;geselecteerd
10434;;2022;B Gezondheidswetenschappen;DEMO;man;21;Nederland;vwo profiel natuur & gezondheid;7.3;5.25;5.05;4.68;4.92;227;niet geselecteerd
10435;10435.0;2022;B Gezondheidswetenschappen;DEMO;vrouw;20;Turkije;vwo profiel natuur & gezondheid;7.4;5.7;5.55;6.45;6.05;97;geselecteerd
10436;10436.0;2022;B Gezondheidswetenschappen;DEMO;man;19;westerse achtergrond;vwo profiel cultuur & maatschappij;6.1;5.75;7.6;5.77;6.13;90;geselecteerd
10437;10437.0;2022;B Gezondheidswetenschappen;DEMO;vrouw;17;Nederland;vwo profiel natuur & techniek;7.6;6.75;6.85;6.57;6.68;34;geselecteerd
10438;;2022;B Gezondheidswetenschappen;DEMO;anders;19;Nederland;anders;6.3;4.9;5.75;5.98;5.61;143;niet geselecteerd
10439;10439.0;2022;B Gezondheidswetenschappen;DEMO;man;19;Nederland;vwo profiel natuur & gezondheid;7.1;5.05;5.65;6.42;5.86;118;reserve
10440;;2022;B Gezondheidswetenschappen;DEMO;vrouw;21;Nederland;vwo profiel cultuur & maatschappij;7.6;4.25;2.85;3.83;3.76;348;niet geselecteerd
10441;;2022;B Gezondheidswetenschappen;DEMO;vrouw;19;Nederland;vwo profiel natuur & gezondheid;7.7;4.05;6.05;4.88;4.86;233;niet geselecteerd
10442;10442.0;2022;B Gezondheidswetenschappen;DEMO;anders;21;Nederland;vwo profiel cultuur & maatschappij;7.0;6.15;5.8;5.63;5.82;122;reserve
10443;;2022;B Gezondheidswetenschappen;DEMO;man;20;Nederland;vwo profiel natuur & gezondheid;7.9;4.9;4.15;4.02;4.31;300;niet geselecteerd
10444;;2022;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;anders;6.7;6.1;4.6;4.88;5.19;194;niet geselecteerd
10445;;2022;B Gezondheidswetenschappen;DEMO;vrouw;19;Nederland;vwo profiel natuur & gezondheid;7.3;3.6;4.9;3.52;3.82;339;niet geselecteerd
10446;;2022;B Gezondheidswetenschappen;DEMO;man;17;Nederland;vwo profiel natuur & techniek;7.7;5.25;6.35;5.33;5.51;152;niet geselecteerd
10447;10447.0;2022;B Gezondheidswetenschappen;DEMO;man;20;Nederland;vwo profiel natuur & gezondheid;6.7;5.85;5.3;6.67;6.15;88;geselecteerd
10448;;2022;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;vwo profiel cultuur & maatschappij;7.7;3.45;3.65;3.12;3.32;383;niet geselecteerd
10449;;2022;B Gezondheidswetenschappen;DEMO;vrouw;19;Nederland;vwo profiel natuur & gezondheid;7.4;3.45;4.85;3.48;3.74;350;niet geselecteerd
10450;10450.0;2022;B Gezondheidswetenschappen;DEMO;anders;20;westerse achtergrond;vwo profiel natuur & gezondheid;5.6;8.0;7.15;7.07;7.36;12;geselecteerd
10451;;2022;B Gezondheidswetenschappen;DEMO;vrouw;21;Nederland;vwo profiel natuur & gezondheid;7.2;3.8;3.65;4.3;4.02;325;niet geselecteerd
10452;10452.0;2022;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;vwo profiel natuur & techniek;6.6;7.1;5.0;6.6;6.43;62;geselecteerd
10453;10453.0;2022;B Gezondheidswetenschappen;DEMO;vrouw;18;Suriname/Antillen;vwo profiel natuur & gezondheid;7.1;6.5;5.95;5.22;5.75;130;reserve
10454;10454.0;2022;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;vwo profiel natuur & gezondheid;8.0;7.45;6.7;7.7;7.42;9;geselecteerd
10455;;2022;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;vwo profiel natuur & gezondheid;7.4;4.75;5.3;4.27;4.62;273;niet geselecteerd
10456;;2022;B Gezondheidswetenschappen;DEMO;vrouw;18;westerse achtergrond;vwo profiel natuur & gezondheid;8.6;4.5;4.5;5.02;4.76;248;niet geselecteerd
10457;;2022;B Gezondheidswetenschappen;DEMO;vrouw;23;Nederland;vwo profiel cultuur & maatschappij;6.5;2.9;4.6;3.38;3.48;372;niet geselecteerd
10458;;2022;B Gezondheidswetenschappen;DEMO;vrouw;17;Nederland;vwo profiel natuur & techniek;7.1;5.55;5.5;5.48;5.51;153;niet geselecteerd
10459;10459.0;2022;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;vwo profiel cultuur & maatschappij;7.1;6.1;7.65;6.2;6.46;57;geselecteerd
10460;;2022;B Gezondheidswetenschappen;DEMO;man;19;Nederland;vwo profiel natuur & gezondheid;7.8;4.3;4.6;4.97;4.69;262;niet geselecteerd
10461;10461.0;2022;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;vwo profiel cultuur & maatschappij;7.0;6.35;6.05;6.55;6.39;64;geselecteerd
10462;10462.0;2022;B Gezondheidswetenschappen;DEMO;man;17;Nederland;vwo profiel cultuur & maatschappij;7.4;6.9;4.85;5.97;6.02;99;geselecteerd
10463;10463.0;2022;B Gezondheidswetenschappen;DEMO;man;21;Nederland;vwo profiel natuur & gezondheid;6.6;6.25;6.7;6.83;6.63;40;geselecteerd
10464;;2022;B Gezondheidswetenschappen;DEMO;man;19;Nederland;vwo profiel natuur & gezondheid;7.5;2.4;2.2;2.38;2.35;414;niet geselecteerd
10465;;2022;B Gezondheidswetenschappen;DEMO;man;20;Nederland;vwo profiel cultuur & maatschappij;8.2;3.15;2.1;2.67;2.7;408;niet geselecteerd
10466;10466.0;2022;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;vwo profiel natuur & techniek;7.6;6.2;6.3;6.4;6.32;70;geselecteerd
10467;;2022;B Gezondheidswetenschappen;DEMO;vrouw;20;overig niet-westers;vwo profiel natuur & gezondheid;7.3;3.85;4.55;4.32;4.23;308;niet geselecteerd
10468;;2022;B Gezondheidswetenschappen;DEMO;vrouw;21;Turkije;vwo profiel natuur & techniek;7.1;5.55;4.75;5.9;5.56;147;niet geselecteerd
10469;;2022;B Gezondheidswetenschappen;DEMO;man;21;Nederland;vwo profiel cultuur & maatschappij;7.7;4.2;5.75;3.97;4.4;291;niet geselecteerd
10470;;2022;B Gezondheidswetenschappen;DEMO;vrouw;17;Marokko;anders;6.4;4.65;4.3;5.08;4.8;244;niet geselecteerd
10471;10471.0;2022;B Gezondheidswetenschappen;DEMO;man;17;westerse achtergrond;vwo profiel cultuur & maatschappij;7.3;5.8;6.5;5.97;6.02;100;geselecteerd
10472;10472.0;2022;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;vwo profiel cultuur & maatschappij;6.8;6.35;5.3;5.83;5.88;115;reserve
10473;;2022;B Gezondheidswetenschappen;DEMO;man;19;Nederland;vwo profiel natuur & techniek;7.1;4.75;6.15;4.87;5.09;207;niet geselecteerd
10474;10474.0;2022;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;vwo profiel natuur & gezondheid;7.1;7.05;5.7;6.08;6.3;73;geselecteerd
10475;;2022;B Gezondheidswetenschappen;DEMO;vrouw;17;Nederland;vwo profiel natuur & gezondheid;6.9;3.05;3.0;2.98;3.0;395;niet geselecteerd
10476;;2022;B Gezondheidswetenschappen;DEMO;vrouw;21;Nederland;vwo profiel natuur & techniek;7.2;2.35;3.4;2.87;2.82;404;niet geselecteerd
10477;;2022;B Gezondheidswetenschappen;DEMO;man;21;Nederland;hbo-propedeuse;7.2;4.45;5.15;5.48;5.11;203;niet geselecteerd
10478;10478.0;2022;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;vwo profiel natuur & gezondheid;6.8;7.25;5.8;6.6;6.64;39;geselecteerd
10479;;2022;B Gezondheidswetenschappen;DEMO;vrouw;17;Nederland;vwo profiel natuur & gezondheid;7.5;4.0;3.95;3.13;3.56;365;niet geselecteerd
10480;;2022;B Gezondheidswetenschappen;DEMO;vrouw;19;Nederland;vwo profiel natuur & gezondheid;7.6;4.5;4.55;5.13;4.82;241;niet geselecteerd
10481;10481.0;2022;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;hbo-propedeuse;7.6;8.0;6.65;6.97;7.22;16;geselecteerd
10482;10482.0;2022;B Gezondheidswetenschappen;DEMO;vrouw;17;Nederland;vwo profiel natuur & gezondheid;7.0;6.65;6.05;6.73;6.57;47;geselecteerd
10483;;2022;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;vwo profiel natuur & techniek;5.6;5.3;4.95;6.23;5.7;135;niet geselecteerd
10484;10484.0;2022;B Gezondheidswetenschappen;DEMO;man;19;Nederland;vwo profiel natuur & gezondheid;6.6;5.65;6.15;6.23;6.04;98;geselecteerd
10485;;2022;B Gezondheidswetenschappen;DEMO;vrouw;21;Nederland;vwo profiel natuur & gezondheid;8.0;3.05;5.15;3.27;3.58;362;niet geselecteerd
10486;;2022;B Gezondheidswetenschappen;DEMO;man;20;Nederland;vwo profiel natuur & gezondheid;6.9;4.7;4.25;4.93;4.72;254;niet geselecteerd
10487;;2022;B Gezondheidswetenschappen;DEMO;vrouw;19;westerse achtergrond;vwo profiel natuur & gezondheid;7.0;4.3;4.55;5.68;5.04;213;niet geselecteerd
10488;;2022;B Gezondheidswetenschappen;DEMO;man;20;Nederland;vwo profiel natuur & gezondheid;6.2;5.3;5.05;5.62;5.41;165;niet geselecteerd
10489;;2022;B Gezondheidswetenschappen;DEMO;vrouw;18;westerse achtergrond;hbo-propedeuse;6.9;4.55;4.65;3.67;4.13;315;niet geselecteerd
10490;;2022;B Gezondheidswetenschappen;DEMO;vrouw;18;westerse achtergrond;vwo profiel natuur & techniek;7.0;3.05;2.45;3.03;2.92;399;niet geselecteerd
10491;10491.0;2022;B Gezondheidswetenschappen;DEMO;vrouw;18;overig niet-westers;vwo profiel economie & maatschappij;5.9;6.95;5.4;5.67;6.0;102;geselecteerd
